,Short Name,Table Name,Region,Income Group,Cluster_1964-1973,Cluster_1974-1983,Cluster_1984-1993,Cluster_1994-2003,Cluster_2004-2013,Cluster_2014-2024
ABW,Aruba,Aruba,Latin America & Caribbean,High income,2.0,2.0,2.0,2.0,2.0,2.0
AFG,Afghanistan,Afghanistan,Middle East & North Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,Angola,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
AND,Andorra,Andorra,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa,High income,2.0,2.0,2.0,2.0,2.0,2.0
ARG,Argentina,Argentina,Latin America & Caribbean,Upper middle income,2.0,1.0,1.0,1.0,1.0,1.0
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,1.0,1.0,1.0,1.0,1.0,
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean,High income,1.0,1.0,1.0,1.0,2.0,1.0
AUS,Australia,Australia,East Asia & Pacific,High income,2.0,2.0,2.0,2.0,2.0,2.0
AUT,Austria,Austria,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
AZE,Azerbaijan,Azerbaijan,Europe & Central Asia,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
BDI,Burundi,Burundi,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
BEL,Belgium,Belgium,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
BEN,Benin,Benin,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
BGD,Bangladesh,Bangladesh,South Asia,Lower middle income,0.0,0.0,0.0,0.0,0.0,1.0
BGR,Bulgaria,Bulgaria,Europe & Central Asia,High income,2.0,1.0,1.0,1.0,1.0,1.0
BHR,Bahrain,Bahrain,Middle East & North Africa,High income,1.0,1.0,2.0,2.0,2.0,2.0
BHS,"Bahamas, The","Bahamas, The",Latin America & Caribbean,High income,2.0,2.0,2.0,2.0,2.0,2.0
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1.0,,1.0,1.0,1.0,1.0
BLR,Belarus,Belarus,Europe & Central Asia,Upper middle income,2.0,1.0,1.0,1.0,1.0,2.0
BLZ,Belize,Belize,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
BMU,Bermuda,Bermuda,North America,High income,2.0,2.0,2.0,2.0,2.0,2.0
BOL,"Bolivia, Plurinational State of",Bolivia,Latin America & Caribbean,Lower middle income,0.0,0.0,1.0,1.0,1.0,1.0
BRA,Brazil,Brazil,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
BRB,Barbados,Barbados,Latin America & Caribbean,High income,2.0,2.0,1.0,2.0,2.0,2.0
BRN,Brunei Darussalam,Brunei Darussalam,East Asia & Pacific,High income,1.0,2.0,2.0,2.0,2.0,2.0
BTN,Bhutan,Bhutan,South Asia,Lower middle income,0.0,0.0,0.0,0.0,1.0,1.0
BWA,Botswana,Botswana,Sub-Saharan Africa,Upper middle income,1.0,0.0,0.0,1.0,1.0,1.0
CAF,Central African Republic,Central African Republic,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
CAN,Canada,Canada,North America,High income,2.0,2.0,2.0,2.0,2.0,2.0
CHE,Switzerland,Switzerland,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
CHI,Channel Islands,Channel Islands,Europe & Central Asia,High income,,,,,,
CHL,Chile,Chile,Latin America & Caribbean,High income,1.0,1.0,1.0,1.0,1.0,2.0
CHN,China,China,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
CIV,Côte d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
CMR,Cameroon,Cameroon,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
COD,"Congo, Democratic Republic of","Congo, Dem. Rep.",Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
COG,"Congo, Republic of","Congo, Rep.",Sub-Saharan Africa,Lower middle income,1.0,1.0,1.0,0.0,0.0,0.0
COL,Colombia,Colombia,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
COM,Comoros,Comoros,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
CPV,Cabo Verde,Cabo Verde,Sub-Saharan Africa,Upper middle income,1.0,0.0,0.0,1.0,1.0,1.0
CRI,Costa Rica,Costa Rica,Latin America & Caribbean,High income,1.0,1.0,1.0,1.0,1.0,1.0
CUB,Cuba,Cuba,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
CUW,Curaçao,Curaçao,Latin America & Caribbean,High income,,,,,2.0,2.0
CYM,Cayman Islands,Cayman Islands,Latin America & Caribbean,High income,2.0,2.0,2.0,2.0,2.0,2.0
CYP,Cyprus,Cyprus,Europe & Central Asia,High income,2.0,1.0,2.0,2.0,2.0,2.0
CZE,Czechia,Czechia,Europe & Central Asia,High income,2.0,2.0,1.0,2.0,2.0,2.0
DEU,Germany,Germany,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
DJI,Djibouti,Djibouti,Middle East & North Africa,Lower middle income,1.0,0.0,0.0,1.0,0.0,0.0
DMA,Dominica,Dominica,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
DNK,Denmark,Denmark,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
DZA,Algeria,Algeria,Middle East & North Africa,Upper middle income,0.0,0.0,1.0,1.0,1.0,1.0
ECU,Ecuador,Ecuador,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
EGY,"Egypt, Arab Republic of","Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,0.0,0.0,1.0,1.0,1.0,1.0
ERI,Eritrea,Eritrea,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
ESP,Spain,Spain,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
EST,Estonia,Estonia,Europe & Central Asia,High income,2.0,2.0,1.0,2.0,2.0,2.0
ETH,Ethiopia,Ethiopia,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
FIN,Finland,Finland,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
FJI,Fiji,Fiji,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
FRA,France,France,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
FRO,Faroe Islands,Faroe Islands,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
FSM,"Micronesia, Federated States of","Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
GAB,Gabon,Gabon,Sub-Saharan Africa,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
GBR,United Kingdom,United Kingdom,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
GEO,Georgia,Georgia,Europe & Central Asia,Upper middle income,2.0,1.0,1.0,1.0,1.0,1.0
GHA,Ghana,Ghana,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
GIB,Gibraltar,Gibraltar,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
GIN,Guinea,Guinea,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
GMB,"Gambia, The","Gambia, The",Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
GNB,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
GNQ,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,0.0,0.0,0.0,0.0,0.0,0.0
GRC,Greece,Greece,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
GRD,Grenada,Grenada,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
GRL,Greenland,Greenland,Europe & Central Asia,High income,1.0,2.0,2.0,2.0,2.0,2.0
